,idx,rule,entriesIdx,numLibTweets,numConTweets,class
32,68,"['dominance > 0.5729166567325592', 'fairness <= 0.5', 'valence > 0.46875', 'dominance <= 0.84375', 'valence <= 0.6979166567325592', 'dominance <= 0.65625']","[212, 251, 304, 400, 560, 824, 870, 901, 935, 1098, 1224, 1232, 1410, 1534, 1546, 1566, 1603, 1761, 1776, 1924, 2056, 2185, 2225, 2275, 2485, 2510, 2671, 2673, 2686, 2758, 2818, 3004, 3064]",21.0,9.0,1
33,69,"['dominance > 0.5729166567325592', 'fairness <= 0.5', 'valence > 0.46875', 'dominance <= 0.84375', 'valence <= 0.6979166567325592', 'dominance > 0.65625']","[41, 590, 737, 741, 1026, 1064, 1484, 1634, 1657, 1796, 1818, 1838, 2028, 2072, 2096, 2107, 2536, 2539, 2583, 3021]",17.0,1.0,1
34,71,"['dominance > 0.5729166567325592', 'fairness <= 0.5', 'valence > 0.46875', 'dominance <= 0.84375', 'valence > 0.6979166567325592', 'valence <= 0.8229166567325592']","[90, 101, 187, 287, 415, 513, 526, 701, 742, 760, 957, 992, 1042, 1114, 1129, 1431, 1464, 1526, 1528, 1529, 1664, 1777, 1782, 1784, 1820, 1898, 1909, 1910, 1920, 2122, 2187, 2346, 2374, 2489, 2588, 2606, 2714, 2721, 2851, 2880, 2927, 2968, 2991, 3068, 3091]",19.0,18.0,1
35,72,"['dominance > 0.5729166567325592', 'fairness <= 0.5', 'valence > 0.46875', 'dominance <= 0.84375', 'valence > 0.6979166567325592', 'valence > 0.8229166567325592']","[109, 211, 278, 328, 373, 501, 618, 728, 735, 777, 829, 940, 950, 995, 1075, 1343, 1478, 1642, 1644, 1669, 1753, 1766, 1977, 2134, 2264, 2303, 2414, 2419, 2582, 2593, 2750, 2869, 2947]",19.0,6.0,1
36,73,"['dominance > 0.5729166567325592', 'fairness <= 0.5', 'valence > 0.46875', 'dominance > 0.84375']","[176, 240, 507, 607, 903, 1072, 1626, 1798, 2124, 2298, 2782, 2812, 2907]",11.0,0.0,1
37,78,"['dominance > 0.5729166567325592', 'fairness > 0.5', 'valence <= 0.6354166567325592', 'valence <= 0.6145833432674408', 'dominance <= 0.6145833432674408', 'valence <= 0.46875']","[39, 98, 121, 132, 148, 232, 368, 562, 650, 685, 818, 862, 930, 965, 974, 1186, 1226, 1413, 1622, 1822, 1827, 1830, 1973, 2008, 2070, 2143, 2165, 2205, 2451, 2522, 2786, 2810, 2856, 2886, 2917, 2934, 2966, 3007, 3022]",19.0,14.0,1
38,79,"['dominance > 0.5729166567325592', 'fairness > 0.5', 'valence <= 0.6354166567325592', 'valence <= 0.6145833432674408', 'dominance <= 0.6145833432674408', 'valence > 0.46875']","[12, 107, 115, 207, 267, 392, 432, 730, 929, 964, 979, 1065, 1104, 1147, 1183, 1453, 1568, 1606, 1656, 1690, 1703, 1816, 1986, 2229, 2320, 2491, 2517, 2565, 2574, 2898, 2921]",19.0,5.0,1
39,81,"['dominance > 0.5729166567325592', 'fairness > 0.5', 'valence <= 0.6354166567325592', 'valence <= 0.6145833432674408', 'dominance > 0.6145833432674408', 'valence <= 0.21875']","[218, 483, 583, 592, 696, 906, 1046, 1332, 1389, 2172, 2267, 2364, 2390, 2633, 2843, 2945]",7.0,4.0,1
40,82,"['dominance > 0.5729166567325592', 'fairness > 0.5', 'valence <= 0.6354166567325592', 'valence <= 0.6145833432674408', 'dominance > 0.6145833432674408', 'valence > 0.21875']","[7, 21, 42, 59, 85, 105, 124, 142, 146, 162, 172, 178, 180, 184, 210, 234, 244, 245, 248, 261, 263, 283, 290, 292, 303, 318, 322, 335, 406, 425, 437, 448, 449, 462, 474, 481, 504, 509, 539, 544, 555, 566, 634, 642, 644, 651, 657, 689, 691, 703, 743, 745, 790, 793, 832, 833, 845, 864, 876, 878, 883, 884, 904, 914, 936, 937, 947, 958, 985, 986, 1010, 1035, 1044, 1059, 1061, 1066, 1086, 1091, 1096, 1103, 1110, 1126, 1144, 1159, 1188, 1239, 1242, 1268, 1270, 1281, 1330, 1336, 1338, 1344, 1357, 1361, 1374, 1445, 1470, 1483, 1487, 1512, 1535, 1569, 1614, 1659, 1687, 1699, 1714, 1748, 1767, 1789, 1795, 1802, 1807, 1815, 1817, 1826, 1867, 1896, 1899, 1901, 1984, 1998, 2010, 2011, 2035, 2069, 2080, 2108, 2115, 2128, 2139, 2148, 2153, 2163, 2189, 2190, 2211, 2214, 2221, 2243, 2278, 2282, 2327, 2347, 2356, 2379, 2389, 2401, 2450, 2455, 2466, 2509, 2520, 2527, 2540, 2548, 2556, 2562, 2567, 2571, 2576, 2581, 2624, 2635, 2679, 2687, 2688, 2694, 2698, 2705, 2723, 2728, 2751, 2754, 2756, 2784, 2798, 2804, 2844, 2849, 2876, 2892, 2897, 2912, 2916, 2970, 2994, 2997, 2998, 3001, 3016, 3033, 3034, 3042, 3048, 3051, 3055, 3071]",144.0,13.0,1
41,85,"['dominance > 0.5729166567325592', 'fairness > 0.5', 'valence <= 0.6354166567325592', 'valence > 0.6145833432674408', 'dominance <= 0.7916666567325592', 'dominance <= 0.65625']","[91, 380, 810, 874, 1403, 2182, 2259, 2752]",2.0,2.0,0
42,86,"['dominance > 0.5729166567325592', 'fairness > 0.5', 'valence <= 0.6354166567325592', 'valence > 0.6145833432674408', 'dominance <= 0.7916666567325592', 'dominance > 0.65625']","[314, 598, 1078, 2384]",3.0,0.0,1
43,88,"['dominance > 0.5729166567325592', 'fairness > 0.5', 'valence <= 0.6354166567325592', 'valence > 0.6145833432674408', 'dominance > 0.7916666567325592', 'dominance <= 0.8854166567325592']","[305, 308, 639, 669, 732, 755, 843, 946, 1081, 1118, 1175, 1280, 1630, 1868, 1875, 1957, 2151, 2353, 2439, 2870]",0.0,15.0,0
44,89,"['dominance > 0.5729166567325592', 'fairness > 0.5', 'valence <= 0.6354166567325592', 'valence > 0.6145833432674408', 'dominance > 0.7916666567325592', 'dominance > 0.8854166567325592']",[2731],1.0,0.0,1
